city,date,temp_max,temp_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,lat,lng,precipitation_category,heat_category,cold_category,wind_category,rain_risk,wind_risk,gust_risk,temperature_risk,weather_code_risk,risk_score,risk_category
Casablanca,2026-09-15,28.8,21.7,0.0,0,11.0,30.6,45,33.5992,-7.62,No Rain,Normal,Normal,Calm,0,0,25,0,20,7.0,Low
Casablanca,2026-09-16,25.9,21.1,0.0,0,14.3,36.4,45,33.5992,-7.62,No Rain,Normal,Normal,Calm,0,0,25,0,20,7.0,Low
Casablanca,2026-09-17,25.8,19.9,0.0,0,11.7,33.5,3,33.5992,-7.62,No Rain,Normal,Normal,Calm,0,0,25,0,10,6.0,Low
Casablanca,2026-09-18,26.3,18.6,0.0,3,14.0,36.4,45,33.5992,-7.62,No Rain,Normal,Normal,Calm,0,0,25,0,20,7.0,Low
Casablanca,2026-09-19,27.0,19.9,0.0,0,12.4,33.5,45,33.5992,-7.62,No Rain,Normal,Normal,Calm,0,0,25,0,20,7.0,Low
Casablanca,2026-09-20,31.8,21.5,0.0,0,11.6,29.9,2,33.5992,-7.62,No Rain,Hot,Normal,Calm,0,0,0,25,10,4.75,Low
Casablanca,2026-09-21,30.3,21.6,0.0,0,13.6,36.0,2,33.5992,-7.62,No Rain,Hot,Normal,Calm,0,0,25,25,10,9.75,Low
Tangier,2026-09-15,30.8,21.5,0.0,0,13.2,30.2,0,35.7767,-5.8039,No Rain,Hot,Normal,Calm,0,0,25,25,0,8.75,Low
Tangier,2026-09-16,26.8,18.1,0.0,0,18.7,45.0,3,35.7767,-5.8039,No Rain,Normal,Normal,Calm,0,0,25,0,10,6.0,Low
Tangier,2026-09-17,26.1,16.6,0.0,0,12.0,28.8,3,35.7767,-5.8039,No Rain,Normal,Normal,Calm,0,0,0,0,10,1.0,Low
Tangier,2026-09-18,28.4,20.3,0.0,8,18.3,44.3,3,35.7767,-5.8039,No Rain,Normal,Normal,Calm,0,0,25,0,10,6.0,Low
Tangier,2026-09-19,27.7,21.9,0.0,0,31.1,73.8,1,35.7767,-5.8039,No Rain,Normal,Normal,Moderate,0,25,75,0,10,22.25,Moderate
Tangier,2026-09-20,25.5,22.6,0.0,0,45.7,88.2,2,35.7767,-5.8039,No Rain,Normal,Normal,Strong,0,50,75,0,10,28.5,Moderate
Tangier,2026-09-21,25.6,21.9,0.0,0,42.9,80.6,2,35.7767,-5.8039,No Rain,Normal,Normal,Strong,0,50,75,0,10,28.5,Moderate
Fès,2026-09-15,34.6,23.8,0.0,0,14.4,37.1,1,34.0433,-5.0033,No Rain,Hot,Normal,Calm,0,0,25,25,10,9.75,Low
